City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-04-15 08:29:51,-46.1927,168.8643,51.89,77,13,3.2
1,Upata,VE,2022-04-15 08:29:52,8.0086,-62.3989,70.66,88,100,4.56
2,Airai,TL,2022-04-15 08:29:52,-8.9266,125.4092,66.47,89,96,2.15
3,Hermanus,ZA,2022-04-15 08:29:52,-34.4187,19.2345,60.8,63,98,19.86
4,New Norfolk,AU,2022-04-15 08:29:53,-42.7826,147.0587,60.66,57,100,1.01
5,Axim,GH,2022-04-15 08:29:53,4.8699,-2.2405,78.98,83,100,5.97
6,Nome,US,2022-04-15 08:29:54,64.5011,-165.4064,39.27,60,75,18.41
7,Bluff,NZ,2022-04-15 08:29:54,-46.6,168.3333,58.15,77,96,10.4
8,Talnakh,RU,2022-04-15 08:29:54,69.4865,88.3972,36.21,90,100,20.24
9,Canon City,US,2022-04-15 08:29:55,38.441,-105.2424,48.18,28,0,8.05
10,Busselton,AU,2022-04-15 08:29:55,-33.65,115.3333,72.03,57,0,7.54
11,Aripuana,BR,2022-04-15 08:29:56,-9.1667,-60.6333,71.74,99,100,2.44
12,Tuktoyaktuk,CA,2022-04-15 08:29:56,69.4541,-133.0374,-11.6,100,98,3.87
13,Vaini,TO,2022-04-15 08:29:56,-21.2,-175.2,78.96,89,40,8.05
14,Albany,US,2022-04-15 08:26:12,42.6001,-73.9662,43.23,86,47,2.8
15,Severo-Kurilsk,RU,2022-04-15 08:29:57,50.6789,156.125,29.88,78,25,9.37
16,Yellowknife,CA,2022-04-15 08:29:57,62.456,-114.3525,10.29,78,20,4.61
17,Saskylakh,RU,2022-04-15 08:29:58,71.9167,114.0833,-0.04,92,79,4.76
18,Ushuaia,AR,2022-04-15 08:29:58,-54.8,-68.3,40.66,75,0,3.44
19,Port Antonio,JM,2022-04-15 08:28:56,18.18,-76.4612,75.0,84,14,9.33
20,Redlands,US,2022-04-15 08:29:58,34.0556,-117.1825,56.5,61,0,0.0
21,Saint-Augustin,CA,2022-04-15 08:29:59,51.226,-58.6502,30.97,98,100,0.58
22,Marawi,PH,2022-04-15 08:29:59,7.9986,124.2928,78.06,70,67,4.32
23,Ilulissat,GL,2022-04-15 08:29:59,69.2167,-51.1,-16.22,94,14,4.74
24,Luderitz,NA,2022-04-15 08:30:00,-26.6481,15.1594,64.74,53,81,24.83
25,Victoria,HK,2022-04-15 08:25:36,22.2855,114.1577,83.17,70,7,11.99
26,Carnarvon,AU,2022-04-15 08:30:00,-24.8667,113.6333,82.47,69,71,12.66
27,Cacak,RS,2022-04-15 08:30:01,43.8914,20.3497,56.8,39,18,0.6
28,Caluquembe,AO,2022-04-15 08:30:02,-13.7833,14.6833,67.75,79,98,3.83
29,Lagoa,PT,2022-04-15 08:30:02,39.05,-27.9833,58.5,83,82,19.44
30,Aasiaat,GL,2022-04-15 08:30:03,68.7098,-52.8699,-10.14,100,95,2.89
31,Longyearbyen,SJ,2022-04-15 08:30:04,78.2186,15.6401,24.64,68,75,3.44
32,Puerto Ayora,EC,2022-04-15 08:30:04,-0.7393,-90.3518,75.2,92,64,8.01
33,Mae Hong Son,TH,2022-04-15 08:30:05,19.3003,97.9685,100.54,37,20,4.61
34,Keetmanshoop,NA,2022-04-15 08:30:06,-26.5833,18.1333,59.92,55,0,5.75
35,Grindavik,IS,2022-04-15 08:29:12,63.8424,-22.4338,46.87,87,75,21.85
36,Andenes,NO,2022-04-15 08:30:06,69.3143,16.1194,39.18,75,100,8.05
37,Punta Arenas,CL,2022-04-15 08:30:07,-53.15,-70.9167,46.51,93,100,4.61
38,East London,ZA,2022-04-15 08:30:07,-33.0153,27.9116,63.54,72,20,24.16
39,Bredasdorp,ZA,2022-04-15 08:30:08,-34.5322,20.0403,59.61,51,99,15.39
40,Bathsheba,BB,2022-04-15 08:30:08,13.2167,-59.5167,77.61,83,40,17.27
41,Esperance,AU,2022-04-15 08:30:08,-33.8667,121.9,69.64,66,0,13.04
42,Port Lincoln,AU,2022-04-15 08:30:09,-34.7333,135.8667,67.23,74,25,8.5
43,Ambulu,ID,2022-04-15 08:30:09,-8.345,113.6058,83.84,79,35,4.59
44,Chokurdakh,RU,2022-04-15 08:31:10,70.6333,147.9167,11.19,95,100,7.49
45,Dingle,PH,2022-04-15 08:31:10,10.9995,122.6711,82.18,79,100,1.36
46,Kununurra,AU,2022-04-15 08:31:10,-15.7667,128.7333,80.58,69,100,10.36
47,Springville,US,2022-04-15 08:31:11,40.1652,-111.6107,47.64,59,75,1.01
48,Urumqi,CN,2022-04-15 08:31:11,43.801,87.6005,50.95,11,0,15.66
49,Gamba,GA,2022-04-15 08:31:12,-2.65,10.0,81.57,78,100,3.33
50,Kungurtug,RU,2022-04-15 08:31:12,50.5994,97.5228,37.63,64,57,1.52
51,Vestmanna,FO,2022-04-15 08:31:13,62.1564,-7.1664,47.32,93,100,14.97
52,Port Alfred,ZA,2022-04-15 08:31:13,-33.5906,26.891,63.18,77,100,8.01
53,Dabou,CI,2022-04-15 08:31:14,5.3256,-4.3769,80.44,82,100,7.81
