City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Xilitla,MX,74.71,scattered clouds,21.3333,-98.9667,Rio Tancuilin
2,Atuona,PF,79.07,light rain,-9.8,-139.0333,Villa Enata
5,Kalianget,ID,85.62,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
10,Taunggyi,MM,76.26,overcast clouds,20.7833,97.0333,True Treasure Hotel
11,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Hithadhoo,MV,82.53,scattered clouds,-0.6,73.0833,Scoop Guest House
17,Hilo,US,77.29,haze,19.7297,-155.09,Hilo Hawaiian Hotel
19,Kavieng,PG,84.42,few clouds,-2.5744,150.7967,Nusa Island Retreat
24,Faanui,PF,82.45,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Rikitea,PF,77.81,clear sky,-23.1203,-134.9692,People ThankYou
26,Caravelas,BR,77.41,light rain,-17.7125,-39.2481,Pousada dos Navegantes
32,Busselton,AU,71.49,broken clouds,-33.65,115.3333,Observatory Guest House
40,Puerto Leguizamo,CO,71.55,overcast clouds,-0.1934,-74.7819,la casona de juancho
44,Port Macquarie,AU,71.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
45,Sao Filipe,CV,70.34,clear sky,14.8961,-24.4956,Hotel Xaguate
47,Puerto Ayora,EC,75.63,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Livramento,BR,75.87,scattered clouds,-3.0254,-60.1803,Refúgio Samauma
54,Cap Malheureux,MU,74.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
57,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
62,Grand Gaube,MU,77.4,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
66,Malkangiri,IN,89.92,broken clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
68,Mazatlan,MX,73.36,few clouds,23.2167,-106.4167,Hotel La Siesta
69,Auki,SB,85.89,overcast clouds,-8.7676,160.7034,Auki Motel
71,Gilbues,BR,74.41,broken clouds,-9.8317,-45.3439,Hotel Camapuã
74,Bontang,ID,78.51,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
82,Hervey Bay,AU,74.89,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
83,Anito,PH,85.48,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
87,Saint-Philippe,RE,73.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
88,Hobyo,SO,81.32,broken clouds,5.3505,48.5268,Iftin hotel hobyo
91,Robertsport,LR,78.67,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
95,Broken Hill,AU,78.51,clear sky,-31.95,141.4333,Royal Exchange Hotel
97,Nueva Loja,EC,71.01,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
98,Mahanoro,MG,75.25,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
100,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
101,Georgetown,MY,85.98,few clouds,5.4112,100.3354,Cititel Penang
103,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
108,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
111,Kerrville,US,74.91,broken clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
112,Gigmoto,PH,84.72,broken clouds,13.7796,124.39,Cj's Travellers Inn
116,Arraial Do Cabo,BR,72.23,clear sky,-22.9661,-42.0278,Pousada Porto Praia
117,Butaritari,KI,81.81,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
118,Jati,PK,83.53,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
119,Lorengau,PG,84.67,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
133,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
134,Flinders,AU,75.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
135,Waggaman,US,75.2,broken clouds,29.9185,-90.2109,"Candlewood Suites Avondale-New Orleans, an IHG Hotel"
136,Ixtapa,MX,74.23,overcast clouds,20.7,-105.2,hotel la terminal
137,Palembang,ID,82.49,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
138,Gambat,PK,71.69,clear sky,27.3515,68.5205,Midway Hotel Bypass
139,Nilopolis,BR,71.28,few clouds,-22.8075,-43.4139,Hotel Premier
140,Belmonte,BR,76.21,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
152,Puerto El Triunfo,SV,82.56,overcast clouds,13.2833,-88.55,Hotel Jardin
153,Nokha,IN,85.32,clear sky,27.6,73.4167,Gurukarpa Hotel
155,Sungaipenuh,ID,74.8,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
156,Galveston,US,77.04,overcast clouds,29.3669,-94.9669,Crystal Suites
158,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
160,San Patricio,US,75.09,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
165,Mumford,GH,80.06,overcast clouds,5.2618,-0.759,Spanish Villa
172,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
175,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
176,Saint George,US,72.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
179,Mandurah,AU,73.9,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
182,Pontian Kecil,MY,84.52,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
183,Namibe,AO,70.72,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
188,Takoradi,GH,78.98,light rain,4.8845,-1.7554,Raybow International Hotel
191,Itarema,BR,77.47,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
192,Bemban,MY,84.0,few clouds,2.2684,102.3746,NeoHomeStay Gapam Lestari
195,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
198,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
199,Phibun Mangsahan,TH,88.09,broken clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
201,Awjilah,LY,75.6,overcast clouds,29.1081,21.2869,المنزل
203,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
205,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
206,Black River,JM,76.57,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
211,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
213,Mandiana,GN,81.27,broken clouds,10.6333,-8.6833,Motels rouzo
214,Vaitape,PF,82.44,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
216,Padang,ID,82.98,overcast clouds,-0.9492,100.3543,Mercure Padang
219,Kulhudhuffushi,MV,84.27,overcast clouds,6.6221,73.07,Haajy Guest House 1
220,Mananjary,MG,75.38,light rain,-21.2167,48.3333,Vahiny Lodge
221,Batemans Bay,AU,70.11,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
226,Tiarei,PF,87.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
238,Marawi,PH,82.17,broken clouds,7.9986,124.2928,Derogongan Residence
249,Venustiano Carranza,MX,73.38,scattered clouds,19.43,-99.0992,We Hotel Aeropuerto
250,Buraydah,SA,72.05,clear sky,26.326,43.975,Mövenpick Qassim
252,Victoria,HK,77.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
253,Gizo,SB,84.45,light rain,-8.103,156.8419,Imagination Island
257,Galle,LK,84.09,scattered clouds,6.0367,80.217,Amangalla
264,Tual,ID,84.18,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
265,Barstow,US,74.39,few clouds,34.8986,-117.0228,"Motel 6 Barstow, CA"
267,Bacolod,PH,85.19,broken clouds,10.6667,122.95,Planta Hotel & Residences
268,Touros,BR,79.92,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
274,Vanimo,PG,85.78,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
275,Sassandra,CI,76.48,light rain,4.95,-6.0833,la terrasse
276,Siocon,PH,86.72,broken clouds,7.7061,122.1353,ABS Hotel
280,Suleja,NG,76.19,overcast clouds,9.1758,7.1808,Capy Motel
283,Picton,AU,75.9,broken clouds,-34.1833,150.6,Picton Valley Motel
284,Guanare,VE,80.62,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
290,Dwarka,IN,81.66,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
291,Sabang,ID,83.1,broken clouds,5.8933,95.3214,Hotel Citra
293,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
295,Isla Mujeres,MX,78.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
296,Batticaloa,LK,82.45,broken clouds,7.7102,81.6924,Grand Star Guest House
298,Kieta,PG,84.49,light rain,-6.2167,155.6333,Uruna Bay Retreat
301,Aneho,TG,82.6,overcast clouds,6.2333,1.6,Hotel La Linette
304,Banda Aceh,ID,84.94,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
306,Ugoofaaru,MV,84.33,overcast clouds,5.6667,73.0,Ungoofaaru Inn
308,Chabahar,IR,81.41,overcast clouds,25.2919,60.643,هتل گدروشیا
311,Carnarvon,AU,86.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
312,Yenagoa,NG,77.9,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
314,Jaru,BR,72.61,overcast clouds,-10.4389,-62.4664,Hotel Paraná
317,Floriano,BR,74.95,clear sky,-6.7669,-43.0225,Hotel Maktub
319,Codrington,AU,75.58,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
324,Rodrigues Alves,BR,70.92,broken clouds,-7.738,-72.6509,Pousada Aconchego
325,Lagunas,PE,71.64,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
329,Marsh Harbour,BS,72.41,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
334,Howard Springs,AU,89.98,broken clouds,-12.497,131.047,buffalo beach hostel
336,Isangel,VU,83.88,few clouds,-19.55,169.2667,Tanna Lodge
338,Nurota,UZ,74.12,overcast clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
340,Dingle,PH,85.15,few clouds,10.9995,122.6711,SEGAYA PROPERTY
344,Pimenta Bueno,BR,71.94,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
347,Sao Joao Da Barra,BR,70.79,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
348,Bandarbeyla,SO,82.87,broken clouds,9.4942,50.8122,JABIR HOTEL
352,Kavaratti,IN,83.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
357,Cockburn Town,TC,77.29,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
