City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,49.59,63,20,8.05,few clouds
1,Xilitla,MX,21.3333,-98.9667,74.71,82,49,2.8,scattered clouds
2,Atuona,PF,-9.8,-139.0333,79.07,78,21,16.08,light rain
3,Mar Del Plata,AR,-38.0023,-57.5575,57.09,87,0,8.01,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,46.51,87,0,11.5,clear sky
5,Kalianget,ID,-7.05,113.9333,85.62,69,91,3.49,overcast clouds
6,Cidreira,BR,-30.1811,-50.2056,64.2,69,90,7.43,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,58.3,60,99,11.52,overcast clouds
8,Thinadhoo,MV,0.5333,72.9333,82.65,72,31,3.4,scattered clouds
9,Bignona,SN,12.8103,-16.2264,69.84,63,63,9.86,broken clouds
10,Taunggyi,MM,20.7833,97.0333,76.26,48,97,2.48,overcast clouds
11,Vaini,TO,-21.2,-175.2,84.36,70,20,10.36,few clouds
12,Nikolskoye,RU,59.7035,30.7861,35.49,90,61,10.47,broken clouds
13,Merauke,ID,-8.4667,140.3333,87.67,62,73,5.23,broken clouds
14,Pevek,RU,69.7008,170.3133,20.59,86,47,3.91,scattered clouds
15,Kapaa,US,22.0752,-159.319,82.38,77,20,16.11,few clouds
16,Hithadhoo,MV,-0.6,73.0833,82.53,69,38,2.75,scattered clouds
17,Hilo,US,19.7297,-155.09,77.29,88,100,6.91,haze
18,Digoin,FR,46.4812,3.9795,49.06,92,0,1.14,clear sky
19,Kavieng,PG,-2.5744,150.7967,84.42,72,16,7.25,few clouds
20,Esperance,AU,-33.8667,121.9,69.64,57,54,9.71,broken clouds
21,Rodez,FR,44.5,2.5833,49.68,87,0,2.3,clear sky
22,Bethel,US,41.3712,-73.414,58.64,50,9,7.0,clear sky
23,Tuatapere,NZ,-46.1333,167.6833,55.4,56,34,17.11,scattered clouds
24,Faanui,PF,-16.4833,-151.75,82.45,67,2,14.74,clear sky
